,menu_item,date,stock_count,orders
18288,STRAWBERRY ICE CREAM,2017-04-19,52,52
18289,Chicken Sandwich,2017-04-19,94,73
18290,Orange Juice,2017-04-19,165,47
18291,Pear,2017-04-19,43,43
18292,Stewed Corn,2017-04-19,100,100
18293,Shrimp Salad,2017-04-19,216,150
18294,Scrambled Eggs,2017-04-19,247,128
18295,Sauterne,2017-04-19,85,85
18296,Boiled eggs,2017-04-19,113,61
18297,Crab Flake Cocktail,2017-04-19,84,84
18298,Blue Point Oysters,2017-04-19,225,94
18299,Stewed Prunes,2017-04-19,110,75
18300,Plums,2017-04-19,35,35
18301,Oyster cocktail,2017-04-19,95,95
18302,Nesselrode Pudding,2017-04-19,25,25
18303,Sweet Potatoes,2017-04-19,71,71
18304,Orange marmalade,2017-04-19,21,21
18305,Tea,2017-04-18,126,73
18306,Milk,2017-04-18,57,55
18307,Boiled potatoes,2017-04-18,189,150
18308,Fruit,2017-04-18,116,71
18309,Sardines,2017-04-18,27,27
18310,Oranges,2017-04-18,132,65
18311,French fried potatoes,2017-04-18,77,77
18312,Chocolate Ice Cream,2017-04-18,134,88
18313,Sliced Tomatoes,2017-04-18,118,76
18314,ROQUEFORT CHEESE,2017-04-18,97,97
18315,Cream Cheese,2017-04-18,76,76
18316,Crackers,2017-04-18,40,40
18317,Grapes,2017-04-18,43,43
18318,Biscuit Tortoni,2017-04-18,49,49
18319,Dessert,2017-04-18,149,72
18320,Shrimp Cocktail,2017-04-18,133,58
18321,rice pudding,2017-04-18,257,107
18322,Corned Beef Hash,2017-04-18,95,89
18323,STRAWBERRY ICE CREAM,2017-04-18,33,33
18324,Chicken Sandwich,2017-04-18,161,161
18325,Orange Juice,2017-04-18,146,76
18326,Pear,2017-04-18,43,43
18327,Stewed Corn,2017-04-18,91,63
18328,Shrimp Salad,2017-04-18,72,72
18329,Scrambled Eggs,2017-04-18,171,61
18330,Sauterne,2017-04-18,92,92
18331,Boiled eggs,2017-04-18,45,45
18332,Crab Flake Cocktail,2017-04-18,99,99
18333,Blue Point Oysters,2017-04-18,113,69
18334,Stewed Prunes,2017-04-18,146,87
18335,Plums,2017-04-18,122,114
18336,Oyster cocktail,2017-04-18,87,87
18337,Nesselrode Pudding,2017-04-18,49,49
18338,Sweet Potatoes,2017-04-18,89,89
18339,Orange marmalade,2017-04-18,28,28
18340,Tea,2017-04-17,126,56
18341,Milk,2017-04-17,90,75
18342,Boiled potatoes,2017-04-17,69,69
18343,Fruit,2017-04-17,46,46
18344,Sardines,2017-04-17,87,65
18345,Oranges,2017-04-17,246,223
18346,French fried potatoes,2017-04-17,26,26
18347,Chocolate Ice Cream,2017-04-17,134,86
18348,Sliced Tomatoes,2017-04-17,118,118
18349,ROQUEFORT CHEESE,2017-04-17,97,87
18350,Cream Cheese,2017-04-17,140,114
18351,Crackers,2017-04-17,73,73
18352,Grapes,2017-04-17,188,188
18353,Biscuit Tortoni,2017-04-17,147,80
18354,Dessert,2017-04-17,75,75
18355,Shrimp Cocktail,2017-04-17,160,100
18356,rice pudding,2017-04-17,59,59
18357,Corned Beef Hash,2017-04-17,135,82
18358,STRAWBERRY ICE CREAM,2017-04-17,33,33
18359,Chicken Sandwich,2017-04-17,134,111
18360,Orange Juice,2017-04-17,165,56
18361,Pear,2017-04-17,43,43
18362,Stewed Corn,2017-04-17,100,100
18363,Shrimp Salad,2017-04-17,90,84
18364,Scrambled Eggs,2017-04-17,152,83
18365,Sauterne,2017-04-17,108,108
18366,Boiled eggs,2017-04-17,90,75
18367,Crab Flake Cocktail,2017-04-17,46,46
18368,Blue Point Oysters,2017-04-17,81,71
18369,Stewed Prunes,2017-04-17,110,71
18370,Plums,2017-04-17,122,94
18371,Oyster cocktail,2017-04-17,63,40
18372,Nesselrode Pudding,2017-04-17,90,90
18373,Sweet Potatoes,2017-04-17,160,156
18374,Orange marmalade,2017-04-17,63,63
18375,Tea,2017-04-16,205,117
18376,Milk,2017-04-16,68,68
18377,Boiled potatoes,2017-04-16,52,52
18378,Fruit,2017-04-16,151,151
18379,Sardines,2017-04-16,67,67
18380,Oranges,2017-04-16,57,57
18381,French fried potatoes,2017-04-16,32,32
18382,Chocolate Ice Cream,2017-04-16,150,76
18383,Sliced Tomatoes,2017-04-16,183,183
18384,ROQUEFORT CHEESE,2017-04-16,89,89
18385,Cream Cheese,2017-04-16,38,38
18386,Crackers,2017-04-16,59,59
18387,Grapes,2017-04-16,131,125
18388,Biscuit Tortoni,2017-04-16,98,75
18389,Dessert,2017-04-16,179,138
18390,Shrimp Cocktail,2017-04-16,106,90
18391,rice pudding,2017-04-16,59,59
18392,Corned Beef Hash,2017-04-16,162,129
18393,STRAWBERRY ICE CREAM,2017-04-16,65,65
18394,Chicken Sandwich,2017-04-16,107,70
18395,Orange Juice,2017-04-16,238,100
18396,Pear,2017-04-16,122,112
18397,Stewed Corn,2017-04-16,36,36
18398,Shrimp Salad,2017-04-16,252,150
18399,Scrambled Eggs,2017-04-16,228,128
18400,Sauterne,2017-04-16,54,54
18401,Boiled eggs,2017-04-16,113,67
18402,Crab Flake Cocktail,2017-04-16,30,30
18403,Blue Point Oysters,2017-04-16,129,86
18404,Stewed Prunes,2017-04-16,49,39
18405,Plums,2017-04-16,113,100
18406,Oyster cocktail,2017-04-16,47,47
18407,Nesselrode Pudding,2017-04-16,57,57
18408,Sweet Potatoes,2017-04-16,160,109
18409,Orange marmalade,2017-04-16,28,28
18410,Tea,2017-04-15,142,57
18411,Milk,2017-04-15,34,34
18412,Boiled potatoes,2017-04-15,206,128
18413,Fruit,2017-04-15,81,81
18414,Sardines,2017-04-15,80,80
18415,Oranges,2017-04-15,95,95
18416,French fried potatoes,2017-04-15,38,38
18417,Chocolate Ice Cream,2017-04-15,150,90
18418,Sliced Tomatoes,2017-04-15,118,118
18419,ROQUEFORT CHEESE,2017-04-15,81,63
18420,Cream Cheese,2017-04-15,89,48
18421,Crackers,2017-04-15,73,73
18422,Grapes,2017-04-15,101,53
18423,Biscuit Tortoni,2017-04-15,196,126
18424,Dessert,2017-04-15,209,105
18425,Shrimp Cocktail,2017-04-15,133,82
18426,rice pudding,2017-04-15,79,49
18427,Corned Beef Hash,2017-04-15,135,90
18428,STRAWBERRY ICE CREAM,2017-04-15,39,39
18429,Chicken Sandwich,2017-04-15,67,67
18430,Orange Juice,2017-04-15,220,58
18431,Pear,2017-04-15,122,119
18432,Stewed Corn,2017-04-15,91,61
18433,Shrimp Salad,2017-04-15,144,78
18434,Scrambled Eggs,2017-04-15,95,80
18435,Sauterne,2017-04-15,54,54
18436,Boiled eggs,2017-04-15,79,77
18437,Crab Flake Cocktail,2017-04-15,106,106
18438,Blue Point Oysters,2017-04-15,64,64
18439,Stewed Prunes,2017-04-15,98,80
18440,Plums,2017-04-15,122,122
18441,Oyster cocktail,2017-04-15,32,32
18442,Nesselrode Pudding,2017-04-15,25,25
18443,Sweet Potatoes,2017-04-15,160,131
18444,Orange marmalade,2017-04-15,98,98
18445,Tea,2017-04-14,95,95
18446,Milk,2017-04-14,113,113
18447,Boiled potatoes,2017-04-14,103,66
18448,Fruit,2017-04-14,93,93
18449,Sardines,2017-04-14,94,94
18450,Oranges,2017-04-14,246,92
18451,French fried potatoes,2017-04-14,26,26
18452,Chocolate Ice Cream,2017-04-14,134,134
18453,Sliced Tomatoes,2017-04-14,170,148
18454,ROQUEFORT CHEESE,2017-04-14,73,73
18455,Cream Cheese,2017-04-14,63,57
18456,Crackers,2017-04-14,40,40
18457,Grapes,2017-04-14,188,188
18458,Biscuit Tortoni,2017-04-14,212,102
18459,Dessert,2017-04-14,75,75
18460,Shrimp Cocktail,2017-04-14,160,160
18461,rice pudding,2017-04-14,79,79
18462,Corned Beef Hash,2017-04-14,162,162
18463,STRAWBERRY ICE CREAM,2017-04-14,19,19
18464,Chicken Sandwich,2017-04-14,40,40
18465,Orange Juice,2017-04-14,110,102
18466,Pear,2017-04-14,113,113
18467,Stewed Corn,2017-04-14,109,109
18468,Shrimp Salad,2017-04-14,234,234
18469,Scrambled Eggs,2017-04-14,228,228
18470,Sauterne,2017-04-14,23,23
18471,Boiled eggs,2017-04-14,136,136
18472,Crab Flake Cocktail,2017-04-14,68,68
18473,Blue Point Oysters,2017-04-14,225,225
18474,Stewed Prunes,2017-04-14,134,134
18475,Plums,2017-04-14,96,96
18476,Oyster cocktail,2017-04-14,103,103
18477,Nesselrode Pudding,2017-04-14,107,87
18478,Sweet Potatoes,2017-04-14,107,106
18479,Orange marmalade,2017-04-14,49,49
18480,Tea,2017-04-13,126,79
18481,Milk,2017-04-13,136,76
18482,Boiled potatoes,2017-04-13,172,80
18483,Fruit,2017-04-13,116,116
18484,Sardines,2017-04-13,94,63
18485,Oranges,2017-04-13,170,100
18486,French fried potatoes,2017-04-13,38,38
18487,Chocolate Ice Cream,2017-04-13,150,51
18488,Sliced Tomatoes,2017-04-13,105,105
18489,ROQUEFORT CHEESE,2017-04-13,32,32
18490,Cream Cheese,2017-04-13,38,38
18491,Crackers,2017-04-13,86,86
18492,Grapes,2017-04-13,174,174
18493,Biscuit Tortoni,2017-04-13,147,88
18494,Dessert,2017-04-13,179,133
18495,Shrimp Cocktail,2017-04-13,160,126
18496,rice pudding,2017-04-13,198,144
18497,Corned Beef Hash,2017-04-13,41,41
18498,STRAWBERRY ICE CREAM,2017-04-13,19,19
18499,Chicken Sandwich,2017-04-13,94,64
18500,Orange Juice,2017-04-13,146,41
18501,Pear,2017-04-13,113,94
18502,Stewed Corn,2017-04-13,100,100
18503,Shrimp Salad,2017-04-13,54,54
18504,Scrambled Eggs,2017-04-13,228,153
18505,Sauterne,2017-04-13,85,85
18506,Boiled eggs,2017-04-13,68,68
18507,Crab Flake Cocktail,2017-04-13,84,84
18508,Blue Point Oysters,2017-04-13,97,58
18509,Stewed Prunes,2017-04-13,61,61
18510,Plums,2017-04-13,96,96
18511,Oyster cocktail,2017-04-13,111,111
18512,Nesselrode Pudding,2017-04-13,98,83
18513,Sweet Potatoes,2017-04-13,178,150
18514,Orange marmalade,2017-04-13,63,52
18515,Tea,2017-12-04,142,42
18516,Milk,2017-12-04,57,57
18517,Boiled potatoes,2017-12-04,138,88
18518,Fruit,2017-12-04,116,112
18519,Sardines,2017-12-04,60,55
18520,Oranges,2017-12-04,113,76
18521,French fried potatoes,2017-12-04,70,70
18522,Chocolate Ice Cream,2017-12-04,150,82
18523,Sliced Tomatoes,2017-12-04,183,183
18524,ROQUEFORT CHEESE,2017-12-04,105,105
18525,Cream Cheese,2017-12-04,102,87
18526,Crackers,2017-12-04,79,79
18527,Grapes,2017-12-04,160,160
18528,Biscuit Tortoni,2017-12-04,114,61
18529,Dessert,2017-12-04,45,45
18530,Shrimp Cocktail,2017-12-04,133,64
18531,rice pudding,2017-12-04,139,139
18532,Corned Beef Hash,2017-12-04,95,51
18533,STRAWBERRY ICE CREAM,2017-12-04,84,83
18534,Chicken Sandwich,2017-12-04,147,122
18535,Orange Juice,2017-12-04,91,71
18536,Pear,2017-12-04,96,96
18537,Stewed Corn,2017-12-04,127,119
18538,Shrimp Salad,2017-12-04,180,90
18539,Scrambled Eggs,2017-12-04,95,75
18540,Sauterne,2017-12-04,69,69
18541,Boiled eggs,2017-12-04,57,57
18542,Crab Flake Cocktail,2017-12-04,53,53
18543,Blue Point Oysters,2017-12-04,81,66
18544,Stewed Prunes,2017-12-04,159,134
18545,Plums,2017-12-04,26,26
18546,Oyster cocktail,2017-12-04,39,39
18547,Nesselrode Pudding,2017-12-04,49,49
18548,Sweet Potatoes,2017-12-04,107,107
18549,Orange marmalade,2017-12-04,28,28
18550,Tea,2017-11-04,63,57
18551,Milk,2017-11-04,90,70
18552,Boiled potatoes,2017-11-04,172,56
18553,Fruit,2017-11-04,151,151
18554,Sardines,2017-11-04,40,40
18555,Oranges,2017-11-04,132,112
18556,French fried potatoes,2017-11-04,45,45
18557,Chocolate Ice Cream,2017-11-04,184,133
18558,Sliced Tomatoes,2017-11-04,131,101
18559,ROQUEFORT CHEESE,2017-11-04,41,41
18560,Cream Cheese,2017-11-04,114,76
18561,Crackers,2017-11-04,92,92
18562,Grapes,2017-11-04,131,131
18563,Biscuit Tortoni,2017-11-04,163,36
18564,Dessert,2017-11-04,209,138
18565,Shrimp Cocktail,2017-11-04,53,47
18566,rice pudding,2017-11-04,99,99
18567,Corned Beef Hash,2017-11-04,67,67
18568,STRAWBERRY ICE CREAM,2017-11-04,52,52
18569,Chicken Sandwich,2017-11-04,161,161
18570,Orange Juice,2017-11-04,220,143
18571,Pear,2017-11-04,61,35
18572,Stewed Corn,2017-11-04,100,88
18573,Shrimp Salad,2017-11-04,54,54
18574,Scrambled Eggs,2017-11-04,171,89
18575,Sauterne,2017-11-04,69,69
18576,Boiled eggs,2017-11-04,90,71
18577,Crab Flake Cocktail,2017-11-04,53,53
18578,Blue Point Oysters,2017-11-04,97,89
18579,Stewed Prunes,2017-11-04,37,37
18580,Plums,2017-11-04,61,61
18581,Oyster cocktail,2017-11-04,79,79
18582,Nesselrode Pudding,2017-11-04,49,49
18583,Sweet Potatoes,2017-11-04,71,56
18584,Orange marmalade,2017-11-04,70,70
18585,Tea,2017-10-04,79,79
18586,Milk,2017-10-04,113,97
18587,Boiled potatoes,2017-10-04,172,63
18588,Fruit,2017-10-04,116,60
18589,Sardines,2017-10-04,20,20
18590,Oranges,2017-10-04,95,78
18591,French fried potatoes,2017-10-04,32,32
18592,Chocolate Ice Cream,2017-10-04,100,69
18593,Sliced Tomatoes,2017-10-04,65,65
18594,ROQUEFORT CHEESE,2017-10-04,113,113
18595,Cream Cheese,2017-10-04,51,51
18596,Crackers,2017-10-04,33,33
18597,Grapes,2017-10-04,174,174
18598,Biscuit Tortoni,2017-10-04,228,131
18599,Dessert,2017-10-04,104,87
18600,Shrimp Cocktail,2017-10-04,67,51
18601,rice pudding,2017-10-04,178,65
18602,Corned Beef Hash,2017-10-04,135,57
18603,STRAWBERRY ICE CREAM,2017-10-04,39,39
18604,Chicken Sandwich,2017-10-04,40,40
18605,Orange Juice,2017-10-04,55,55
18606,Pear,2017-10-04,104,104
18607,Stewed Corn,2017-10-04,64,40
18608,Shrimp Salad,2017-10-04,180,87
18609,Scrambled Eggs,2017-10-04,171,87
18610,Sauterne,2017-10-04,100,76
18611,Boiled eggs,2017-10-04,34,34
18612,Crab Flake Cocktail,2017-10-04,84,84
18613,Blue Point Oysters,2017-10-04,145,73
18614,Stewed Prunes,2017-10-04,171,100
18615,Plums,2017-10-04,104,104
18616,Oyster cocktail,2017-10-04,47,47
18617,Nesselrode Pudding,2017-10-04,25,25
18618,Sweet Potatoes,2017-10-04,178,159
18619,Orange marmalade,2017-10-04,42,42
18620,Tea,2017-09-04,190,139
18621,Milk,2017-09-04,158,158
18622,Boiled potatoes,2017-09-04,69,50
18623,Fruit,2017-09-04,46,46
18624,Sardines,2017-09-04,33,33
18625,Oranges,2017-09-04,113,45
18626,French fried potatoes,2017-09-04,90,90
18627,Chocolate Ice Cream,2017-09-04,234,105
18628,Sliced Tomatoes,2017-09-04,183,117
18629,ROQUEFORT CHEESE,2017-09-04,81,45
18630,Cream Cheese,2017-09-04,127,79
18631,Crackers,2017-09-04,73,73
18632,Grapes,2017-09-04,116,67
18633,Biscuit Tortoni,2017-09-04,65,65
18634,Dessert,2017-09-04,194,119
18635,Shrimp Cocktail,2017-09-04,186,148
18636,rice pudding,2017-09-04,59,59
18637,Corned Beef Hash,2017-09-04,148,148
18638,STRAWBERRY ICE CREAM,2017-09-04,19,19
18639,Chicken Sandwich,2017-09-04,94,65
18640,Orange Juice,2017-09-04,110,64
18641,Pear,2017-09-04,61,54
18642,Stewed Corn,2017-09-04,82,64
18643,Shrimp Salad,2017-09-04,180,70
18644,Scrambled Eggs,2017-09-04,190,41
18645,Sauterne,2017-09-04,46,46
18646,Boiled eggs,2017-09-04,68,68
18647,Crab Flake Cocktail,2017-09-04,91,91
18648,Blue Point Oysters,2017-09-04,145,89
18649,Stewed Prunes,2017-09-04,85,72
18650,Plums,2017-09-04,61,52
18651,Oyster cocktail,2017-09-04,103,103
18652,Nesselrode Pudding,2017-09-04,49,49
18653,Sweet Potatoes,2017-09-04,71,66
18654,Orange marmalade,2017-09-04,21,21
18655,Tea,2017-08-04,221,75
18656,Milk,2017-08-04,158,158
18657,Boiled potatoes,2017-08-04,120,45
18658,Fruit,2017-08-04,116,92
18659,Sardines,2017-08-04,47,47
18660,Oranges,2017-08-04,246,156
18661,French fried potatoes,2017-08-04,51,51
18662,Chocolate Ice Cream,2017-08-04,67,67
18663,Sliced Tomatoes,2017-08-04,79,79
18664,ROQUEFORT CHEESE,2017-08-04,81,65
18665,Cream Cheese,2017-08-04,127,71
18666,Crackers,2017-08-04,92,92
18667,Grapes,2017-08-04,160,160
18668,Biscuit Tortoni,2017-08-04,114,84
18669,Dessert,2017-08-04,75,40
18670,Shrimp Cocktail,2017-08-04,53,53
18671,rice pudding,2017-08-04,119,119
18672,Corned Beef Hash,2017-08-04,135,70
18673,STRAWBERRY ICE CREAM,2017-08-04,26,26
18674,Chicken Sandwich,2017-08-04,188,68
18675,Orange Juice,2017-08-04,110,65
18676,Pear,2017-08-04,122,122
18677,Stewed Corn,2017-08-04,36,36
18678,Shrimp Salad,2017-08-04,72,72
18679,Scrambled Eggs,2017-08-04,190,73
18680,Sauterne,2017-08-04,77,70
18681,Boiled eggs,2017-08-04,45,45
18682,Crab Flake Cocktail,2017-08-04,61,61
18683,Blue Point Oysters,2017-08-04,145,89
18684,Stewed Prunes,2017-08-04,73,69
18685,Plums,2017-08-04,26,26
18686,Oyster cocktail,2017-08-04,24,24
18687,Nesselrode Pudding,2017-08-04,41,41
18688,Sweet Potatoes,2017-08-04,53,53
18689,Orange marmalade,2017-08-04,91,91
18690,Tea,2017-07-04,205,205
18691,Milk,2017-07-04,68,68
18692,Boiled potatoes,2017-07-04,172,141
18693,Fruit,2017-07-04,81,81
18694,Sardines,2017-07-04,20,20
18695,Oranges,2017-07-04,189,48
18696,French fried potatoes,2017-07-04,58,58
18697,Chocolate Ice Cream,2017-07-04,217,116
18698,Sliced Tomatoes,2017-07-04,92,92
18699,ROQUEFORT CHEESE,2017-07-04,89,89
18700,Cream Cheese,2017-07-04,89,89
18701,Crackers,2017-07-04,46,46
18702,Grapes,2017-07-04,116,116
18703,Biscuit Tortoni,2017-07-04,147,87
18704,Dessert,2017-07-04,104,104
18705,Shrimp Cocktail,2017-07-04,53,53
18706,rice pudding,2017-07-04,238,238
18707,Corned Beef Hash,2017-07-04,135,135
18708,STRAWBERRY ICE CREAM,2017-07-04,78,71
18709,Chicken Sandwich,2017-07-04,94,60
18710,Orange Juice,2017-07-04,220,129
18711,Pear,2017-07-04,43,43
18712,Stewed Corn,2017-07-04,118,118
18713,Shrimp Salad,2017-07-04,54,54
18714,Scrambled Eggs,2017-07-04,152,152
18715,Sauterne,2017-07-04,23,23
18716,Boiled eggs,2017-07-04,34,34
18717,Crab Flake Cocktail,2017-07-04,46,46
18718,Blue Point Oysters,2017-07-04,177,177
18719,Stewed Prunes,2017-07-04,98,98
18720,Plums,2017-07-04,113,113
18721,Oyster cocktail,2017-07-04,79,79
18722,Nesselrode Pudding,2017-07-04,66,63
18723,Sweet Potatoes,2017-07-04,196,196
18724,Orange marmalade,2017-07-04,77,77
18725,Tea,2017-06-04,126,85
18726,Milk,2017-06-04,45,45
18727,Boiled potatoes,2017-06-04,120,82
18728,Fruit,2017-06-04,116,79
18729,Sardines,2017-06-04,33,33
18730,Oranges,2017-06-04,151,115
18731,French fried potatoes,2017-06-04,83,83
18732,Chocolate Ice Cream,2017-06-04,134,67
18733,Sliced Tomatoes,2017-06-04,65,62
18734,ROQUEFORT CHEESE,2017-06-04,24,24
18735,Cream Cheese,2017-06-04,63,63
18736,Crackers,2017-06-04,40,40
18737,Grapes,2017-06-04,188,116
18738,Biscuit Tortoni,2017-06-04,114,86
18739,Dessert,2017-06-04,149,55
18740,Shrimp Cocktail,2017-06-04,106,58
18741,rice pudding,2017-06-04,257,136
18742,Corned Beef Hash,2017-06-04,67,49
18743,STRAWBERRY ICE CREAM,2017-06-04,65,65
18744,Chicken Sandwich,2017-06-04,174,174
18745,Orange Juice,2017-06-04,146,89
18746,Pear,2017-06-04,70,62
18747,Stewed Corn,2017-06-04,118,90
18748,Shrimp Salad,2017-06-04,90,47
18749,Scrambled Eggs,2017-06-04,171,60
18750,Sauterne,2017-06-04,85,85
18751,Boiled eggs,2017-06-04,136,133
18752,Crab Flake Cocktail,2017-06-04,38,38
18753,Blue Point Oysters,2017-06-04,129,61
18754,Stewed Prunes,2017-06-04,98,56
18755,Plums,2017-06-04,104,104
18756,Oyster cocktail,2017-06-04,87,87
18757,Nesselrode Pudding,2017-06-04,107,107
18758,Sweet Potatoes,2017-06-04,89,73
18759,Orange marmalade,2017-06-04,42,42
18760,Tea,2017-05-04,158,47
18761,Milk,2017-05-04,68,68
18762,Boiled potatoes,2017-05-04,189,129
18763,Fruit,2017-05-04,58,58
18764,Sardines,2017-05-04,67,67
18765,Oranges,2017-05-04,170,136
18766,French fried potatoes,2017-05-04,70,70
18767,Chocolate Ice Cream,2017-05-04,200,128
18768,Sliced Tomatoes,2017-05-04,118,41
18769,ROQUEFORT CHEESE,2017-05-04,73,66
18770,Cream Cheese,2017-05-04,165,141
18771,Crackers,2017-05-04,46,46
18772,Grapes,2017-05-04,131,131
18773,Biscuit Tortoni,2017-05-04,81,74
18774,Dessert,2017-05-04,60,60
18775,Shrimp Cocktail,2017-05-04,67,58
18776,rice pudding,2017-05-04,79,79
18777,Corned Beef Hash,2017-05-04,54,54
18778,STRAWBERRY ICE CREAM,2017-05-04,52,52
18779,Chicken Sandwich,2017-05-04,161,161
18780,Orange Juice,2017-05-04,55,54
18781,Pear,2017-05-04,26,26
18782,Stewed Corn,2017-05-04,91,74
18783,Shrimp Salad,2017-05-04,198,143
18784,Scrambled Eggs,2017-05-04,247,109
18785,Sauterne,2017-05-04,108,108
18786,Boiled eggs,2017-05-04,34,34
18787,Crab Flake Cocktail,2017-05-04,38,38
18788,Blue Point Oysters,2017-05-04,129,52
18789,Stewed Prunes,2017-05-04,37,37
18790,Plums,2017-05-04,70,55
18791,Oyster cocktail,2017-05-04,103,103
18792,Nesselrode Pudding,2017-05-04,98,98
18793,Sweet Potatoes,2017-05-04,125,37
18794,Orange marmalade,2017-05-04,91,91
18795,Tea,2017-04-04,142,54
18796,Milk,2017-04-04,136,136
18797,Boiled potatoes,2017-04-04,206,92
18798,Fruit,2017-04-04,116,34
18799,Sardines,2017-04-04,33,33
18800,Oranges,2017-04-04,246,180
18801,French fried potatoes,2017-04-04,51,51
18802,Chocolate Ice Cream,2017-04-04,184,119
18803,Sliced Tomatoes,2017-04-04,79,65
18804,ROQUEFORT CHEESE,2017-04-04,105,105
18805,Cream Cheese,2017-04-04,102,79
18806,Crackers,2017-04-04,26,26
18807,Grapes,2017-04-04,58,58
18808,Biscuit Tortoni,2017-04-04,212,131
18809,Dessert,2017-04-04,194,138
18810,Shrimp Cocktail,2017-04-04,106,74
18811,rice pudding,2017-04-04,257,245
18812,Corned Beef Hash,2017-04-04,162,99
18813,STRAWBERRY ICE CREAM,2017-04-04,26,26
18814,Chicken Sandwich,2017-04-04,80,77
18815,Orange Juice,2017-04-04,220,66
18816,Pear,2017-04-04,78,75
18817,Stewed Corn,2017-04-04,73,73
18818,Shrimp Salad,2017-04-04,162,79
18819,Scrambled Eggs,2017-04-04,171,45
18820,Sauterne,2017-04-04,23,23
18821,Boiled eggs,2017-04-04,45,45
18822,Crab Flake Cocktail,2017-04-04,91,91
18823,Blue Point Oysters,2017-04-04,97,70
18824,Stewed Prunes,2017-04-04,49,49
18825,Plums,2017-04-04,104,104
18826,Oyster cocktail,2017-04-04,95,95
18827,Nesselrode Pudding,2017-04-04,107,104
18828,Sweet Potatoes,2017-04-04,142,93
18829,Orange marmalade,2017-04-04,49,49
18830,Tea,2017-03-04,47,47
18831,Milk,2017-03-04,57,57
18832,Boiled potatoes,2017-03-04,138,71
18833,Fruit,2017-03-04,58,41
18834,Sardines,2017-03-04,33,33
18835,Oranges,2017-03-04,132,92
18836,French fried potatoes,2017-03-04,32,32
18837,Chocolate Ice Cream,2017-03-04,83,70
18838,Sliced Tomatoes,2017-03-04,65,65
18839,ROQUEFORT CHEESE,2017-03-04,105,105
18840,Cream Cheese,2017-03-04,140,70
18841,Crackers,2017-03-04,73,73
18842,Grapes,2017-03-04,174,174
18843,Biscuit Tortoni,2017-03-04,163,52
18844,Dessert,2017-03-04,60,60
18845,Shrimp Cocktail,2017-03-04,120,75
18846,rice pudding,2017-03-04,218,196
18847,Corned Beef Hash,2017-03-04,148,104
18848,STRAWBERRY ICE CREAM,2017-03-04,72,72
18849,Chicken Sandwich,2017-03-04,54,54
18850,Orange Juice,2017-03-04,201,100
18851,Pear,2017-03-04,96,96
18852,Stewed Corn,2017-03-04,100,100
18853,Shrimp Salad,2017-03-04,108,78
18854,Scrambled Eggs,2017-03-04,171,83
18855,Sauterne,2017-03-04,23,23
18856,Boiled eggs,2017-03-04,113,80
18857,Crab Flake Cocktail,2017-03-04,46,46
18858,Blue Point Oysters,2017-03-04,129,55
18859,Stewed Prunes,2017-03-04,110,80
18860,Plums,2017-03-04,43,43
18861,Oyster cocktail,2017-03-04,32,32
18862,Nesselrode Pudding,2017-03-04,33,33
18863,Sweet Potatoes,2017-03-04,178,106
18864,Orange marmalade,2017-03-04,42,42
18865,Tea,2017-02-04,158,70
18866,Milk,2017-02-04,136,99
18867,Boiled potatoes,2017-02-04,103,69
18868,Fruit,2017-02-04,70,58
18869,Sardines,2017-02-04,33,33
18870,Oranges,2017-02-04,227,227
18871,French fried potatoes,2017-02-04,70,70
18872,Chocolate Ice Cream,2017-02-04,83,61
18873,Sliced Tomatoes,2017-02-04,105,105
18874,ROQUEFORT CHEESE,2017-02-04,105,105
18875,Cream Cheese,2017-02-04,38,38
18876,Crackers,2017-02-04,86,86
18877,Grapes,2017-02-04,131,126
18878,Biscuit Tortoni,2017-02-04,49,49
18879,Dessert,2017-02-04,89,88
18880,Shrimp Cocktail,2017-02-04,160,150
18881,rice pudding,2017-02-04,277,156
18882,Corned Beef Hash,2017-02-04,81,81
18883,STRAWBERRY ICE CREAM,2017-02-04,39,39
18884,Chicken Sandwich,2017-02-04,107,61
18885,Orange Juice,2017-02-04,55,42
18886,Pear,2017-02-04,113,113
18887,Stewed Corn,2017-02-04,55,50
18888,Shrimp Salad,2017-02-04,216,144
18889,Scrambled Eggs,2017-02-04,133,53
18890,Sauterne,2017-02-04,69,69
18891,Boiled eggs,2017-02-04,68,68
18892,Crab Flake Cocktail,2017-02-04,53,53
18893,Blue Point Oysters,2017-02-04,81,62
18894,Stewed Prunes,2017-02-04,61,61
18895,Plums,2017-02-04,70,38
18896,Oyster cocktail,2017-02-04,39,39
18897,Nesselrode Pudding,2017-02-04,90,68
18898,Sweet Potatoes,2017-02-04,53,53
18899,Orange marmalade,2017-02-04,28,28
18900,Tea,2017-01-04,47,47
18901,Milk,2017-01-04,113,75
18902,Boiled potatoes,2017-01-04,69,37
18903,Fruit,2017-01-04,151,114
18904,Sardines,2017-01-04,27,27
18905,Oranges,2017-01-04,170,65
18906,French fried potatoes,2017-01-04,38,38
18907,Chocolate Ice Cream,2017-01-04,167,62
18908,Sliced Tomatoes,2017-01-04,52,52
18909,ROQUEFORT CHEESE,2017-01-04,49,49
18910,Cream Cheese,2017-01-04,178,122
18911,Crackers,2017-01-04,86,86
18912,Grapes,2017-01-04,87,87
18913,Biscuit Tortoni,2017-01-04,49,49
18914,Dessert,2017-01-04,194,122
18915,Shrimp Cocktail,2017-01-04,93,68
